Name,Team,Year,class_rank,1m_prequal,3m_prequal,1m Prelim Score,1M Consol Score,1M Final Score,3M Prelim Score,3M Consol Score,3M Final Score,international,qualify
Cassi blakeman,Colorado Mesa,2017,SO,264.65,242.05,393.50,,389.40,424.75,,404.85,0,1
mikayla Karasek,Grand Valley,2017,FR,261.15,225.40,414.30,,408.85,390.15,,,0,1
Angela Probstfeld,Northern Michigan,2017,JR,260.35,289.25,387.70,,,463.80,,476.75,0,1
Lauren Skinner,Cal Baptist,2017,SR,258.70,236.45,390.40,,,422.00,,424.45,0,1
Kayla Marquardt,Grand Valley,2017,SR,251.00,221.90,406.90,,407.70,400.65,,,0,1
Christina Sather,Clarion,2017,SO,247.50,272.55,418.40,,445.40,435.85,,473.95,0,1
Mia Teifer,Wayne State,2017,FR,244.80,203.05,395.80,,414.65,373.70,,,0,1
Kelsey Vreeman,Colorado Mesa,2017,FR,237.85,194.10,374.70,,,416.40,,445.85,0,1
Brittany Dixon,Colorado Mesa,2017,FR,228.80,229.25,354.35,,,386.95,,,0,1
Shelby Werkema,Lindenwood,2017,SR,228.70,248.85,381.60,,,355.10,,,0,1
Breanne Schlenger,Cal Baptist,2017,SR,224.80,242.75,377.45,,,413.20,,,0,1
Elizabeth Rawlings,Wayne State,2017,SR,222.45,283.00,430.30,,429.45,447.00,,485.15,0,1
Morgan Brutcher,Tiffin,2017,SR,217.80,219.25,381.20,,,344.10,,,0,1
Abby Smith,Colorado Mesa,2017,SO,217.30,192.70,317.25,,,354.65,,,0,1
Nadia Mulder,West Chester,2017,FR,216.95,266.95,380.50,,,388.20,,,0,1
Erica Allor,Grand Valley,2017,SO,211.30,243.30,343.50,,,407.85,,,0,1
Brooke Abrantes,UCSD,2017,SO,209.45,247.30,355.00,,,387.50,,,0,1
Ashley holloway,Lindenwood,2017,SO,207.75,199.30,,,,,,,0,0
Casey moore,Delta State,2017,FR,205.25,,,,,,,,0,0
Lindsey Pope,West Chester,2017,FR,204.20,238.40,348.70,,,379.55,,,0,1
Holly Krill,Wayne State,2017,SR,202.50,222.00,,,,,,,0,0
Kianna Mourer,Azuza Pacfic,2017,JR,198.90,235.30,369.40,,,404.80,,,0,1
Jamie Kimble,Northern Michigan,2017,FR,198.30,220.20,,,,,,,0,0
Rachel Johns,Azuza Pacfic,2017,SO,197.05,190.30,,,,,,,0,0
Lauren hake,Minnesota Mankato,2017,FR,192.70,203.10,,,,,,,0,0
Tiffany Wong,UCSD,2017,FR,192.15,207.55,,,,,,,0,0
Lonie Anderson,St. Cloud,2017,JR,190.85,221.75,,,,,,,0,0
Wilhelmina Francisco,Saginaw Valley,2017,JR,188.45,228.25,,,,,,,0,0
Mariah Constantakos,West Florida,2017,SO,188.20,228.95,304.50,,,388.75,,,0,1
Jaycie Klein,Minnesota Mankato,2017,FR,183.60,202.85,,,,,,,0,0
Hailey Leonard,Delta State,2017,JR,182.00,208.35,,,,,,,0,0
Meg Zets,West Florida,2017,SR,175.50,202.40,,,,,,,0,0
Nicki De Vries,Nebraska Kearney,2017,SR,167.95,174.55,,,,,,,0,0
Stefany Busch,Colorado State Pueblo,2017,JR,142.90,,,,,,,,0,0
Patricia Sullivan,UCSD,2017,SO,137.65,184.80,,,,,,,0,0
Delainey Carlin,UCSD,2017,SO,113.55,187.40,,,,,,,0,0
Jessica Anderson,Western Colorado,2017,SR,103.45,,,,,,,,0,0
Mackenzie Blomquist,Delta State,2017,FR,101.90,,,,,,,,0,0
Molly Kearney,Northern Michigan,2016,SR,279.75,276.20,454.50,,459.70,453.40,,436.55,0,1
Monica Amaral,West Florida,2016,JR,271.90,288.30,484.70,,494.90,514.00,,550.20,1,1
Tatiana kurach,Henderson,2016,FR,263.85,293.25,463.80,,396.05,443.55,,,1,1
Alex Geddis,Wayne State,2016,SR,262.70,274.30,444.60,,,436.80,,,0,1
Shelby Werkema,Lindenwood,2016,JR,262.20,206.90,430.40,,,455.30,,434.90,0,1
Elizabeth Rawlings,Wayne State,2016,JR,261.60,253.40,428.35,,,491.45,,427.25,0,1
Noelle Melani,Clarion,2016,SR,259.60,278.95,417.30,,,,,,0,1
Morgan Brutcher,Tiffin,2016,JR,256.65,,458.15,,463.65,,,,0,1
Anna Barry,Grand Valley,2016,JR,254.15,231.00,443.40,,,402.45,,,0,1
Wilhelmina Francisco,Saginaw Valley,2016,SO,253.60,246.25,416.90,,,426.65,,,0,1
Carleen Wayne,Lindenwood,2016,SR,252.25,240.60,449.55,,462.95,426.55,,,0,1
Lauren Skinner,Cal Baptist,2016,JR,252.20,242.70,423.80,,,420.85,,,0,1
Cassi blakeman,Colorado Mesa,2016,FR,251.60,260.90,451.80,,450.85,411.30,,,0,1
Kayla Marquardt,Grand Valley,2016,JR,250.45,220.55,453.15,,454.50,441.95,,,0,1
Angela Probstfeld,Northern Michigan,2016,SO,250.35,254.40,420.80,,,407.35,,,0,1
Taylor Wiercinski,Grand Valley,2016,SR,249.55,291.90,466.55,,491.60,491.15,,522.25,0,1
Breanne Schlenger,Cal Baptist,2016,JR,248.80,214.50,410.45,,,430.25,,,0,1
Lauren Slayton,Clarion,2016,JR,248.10,259.00,431.90,,,432.85,,,0,1
Nicola Mancini,Bentley,2016,SR,247.55,288.15,409.75,,,444.40,,471.30,0,1
Sarah Zerfoss,Clarion,2016,SR,247.15,280.95,431.90,,,481.75,,472.70,0,1
Josephine Mckee,West Florida,2016,SR,246.80,243.50,,,,,,,0,0
Emily Pascavis,Minnesota Moorhead,2016,SR,245.55,242.35,,,,,,,0,0
Rebekah laupp,Drury,2016,SR,245.40,275.10,411.85,,,441.15,,,0,1
Britin Thomsen,St. Cloud,2016,SO,245.20,211.60,,,,,,,0,0
Christina Sather,Clarion,2016,FR,244.95,287.30,441.10,,,471.35,,472.15,0,1
Holly Krill,Wayne State,2016,JR,243.10,237.40,,,,,,,0,1
Ashly,Lindenwood,2016,FR,236.35,194.45,,,,,,,0,0
Kathleen Murphy,Saginaw Valley,2016,SO,236.35,247.10,,,,,,,0,0
Jana Hedstrom,Minnesota Moorhead,2016,SR,236.20,232.25,,,,,,,0,0
Madison tanis,Findley,2016,FR,232.50,225.95,,,,,,,0,0
Brooke Abrantes,UCSD,2016,FR,230.10,197.30,,,,,,,0,0
Lonie Anderson,St. Cloud,2016,SO,227.00,188.40,,,,,,,0,0
Kianna Mourer,Azuza Pacfic,2016,SO,226.45,233.90,,,,,,,0,0
Marissa Constantakos,West Florida,2016,FR,223.95,220.90,,,,,,,0,0
Haley Boland,Southern Connecticut State,2016,SO,220.50,154.95,,,,,,,0,0
Alexandra Steinhauser,Lindenwood,2016,FR,219.25,166.00,,,,,,,0,0
Courtney Stone,Bentley,2016,SR,217.80,193.45,,,,,,,0,0
Mariah Constantakos,West Florida,2016,FR,216.25,211.00,,,,,,,0,0
Meg Zets,West Florida,2016,JR,214.55,217.80,,,,,,,0,0
Rachel Johns,Azuza Pacfic,2016,FR,210.75,186.00,,,,,,,0,0
Amber Armstrong,St. Cloud,2016,SO,205.50,228.10,,,,,,,0,0
Patricia Sullivan,UCSD,2016,FR,196.05,216.35,,,,,,,0,0
Allyson Cohen,UCSD,2016,SR,185.35,198.45,,,,,,,0,0
Molly Kearney,Northern Michigan,2015,JR,265.75,255.75,424.05,,444.75,470.00,,442.75,0,1
Elizabeth Rawlings,Wayne State,2015,SO,263.05,273.85,474.00,,499.40,515.75,,555.70,0,1
Taylor Wiercinski,Grand Valley,2015,JR,260.40,281.65,460.65,,488.40,505.85,,521.30,0,1
Breanne Schlenger,Cal Baptist,2015,SO,254.45,248.20,424.15,,429.85,430.40,,,0,1
Kristin Day,Clarion,2015,SR,250.90,286.45,491.30,,506.85,526.95,,412.20,0,1
Lauren Skinner,Cal Baptist,2015,SO,249.60,227.35,398.50,,,408.65,,,0,1
Monica Amaral,West Florida,2015,SO,242.70,277.30,461.80,,490.80,485.55,,530.65,1,1
Kayla Marquardt,Grand Valley,2015,SO,241.45,233.35,400.50,,,421.35,,,0,1
Anna Barry,Grand Valley,2015,SO,235.65,217.05,398.55,,,423.65,,,0,1
Emily Pascavis,Minnesota Moorhead,2015,JR,234.20,193.85,398.00,,,393.15,,,0,1
Morgan Brutcher,Tiffin,2015,SO,227.40,,419.35,,,N/A,,,0,1
Sarah Zerfoss,Clarion,2015,JR,222.95,271.75,458.55,,468.35,480.00,,497.10,0,1
Alex Geddis,Lindenwood,2015,JR,221.05,235.70,388.65,,,399.10,,,0,1
Carleen Wayne,Wayne State,2015,JR,221.05,266.70,411.25,,,462.25,,465.00,0,1
Lauren Slayton,Clarion,2015,SO,218.85,247.35,421.50,,,456.65,,,0,1
Holly Krill,Wayne State,2015,SO,218.55,246.85,367.05,,,404.20,,,0,1
Kianna Mourer,Azuza Pacfic,2015,FR,215.75,229.35,383.45,,,424.85,,,0,1
Josephine Mckee,West Florida,2015,JR,203.60,237.00,369.00,,,420.60,,,0,1
Paige Wilde,Bentley,2015,SR,202.15,210.00,,,,,,,0,0
Elizabeth Durward,Simon Fraser,2015,JR,200.55,237.90,401.15,,,402.90,,,1,1
Amanda jennings,Colorado Mesa,2015,SR,194.30,262.95,423.70,,444.75,445.25,,,0,1
Kathleen Murphy,Saginaw Valley,2015,FR,193.20,,,,,,,,0,0
Ashleigh Weddington,Findley,2015,SR,192.45,247.60,358.30,,,426.15,,,0,1
Meg Zets,West Florida,2015,SO,187.65,232.25,,,,,,,0,0
Shelby Werkema,Lindenwood,2015,SO,174.75,200.60,,,,,,,0,0
Hailey Leonard,Delta State,2015,SO,171.95,210.75,,,,,,,0,0
Nicole Gilbert,Grand Valley,2015,SR,171.95,213.15,,,,,,,0,0
Amanda Groebner,Minnesota Moorhead,2015,SO,169.85,189.15,,,,,,,0,0
Rebekah laupp,Drury,2015,JR,168.00,267.00,400.35,,,491.25,,496.90,0,1
Hailey Viehmann,Azuza Pacfic,2015,FR,164.95,211.30,,,,,,,0,0
Sophia Garris,Northern Michigan,2015,SR,150.90,232.15,,,,,,,0,0
Natelie Todd,UIndy,2015,JR,135.00,189.40,,,,,,,0,0
Paige Kortman,Wayne State,2014,SR,264.50,286.90,427.45,,466.85,473.45,,486.45,0,1
Taylor Wiercinski,Grand Valley,2014,SO,263.95,281.30,470.80,,466.10,465.70,,472.50,0,1
Elizabeth Rawlings,Wayne State,2014,FR,257.60,252.45,427.95,,436.20,469.25,,481.85,0,1
Alex Geddis,Wayne State,2014,SO,252.15,238.95,442.25,,438.75,447.25,,471.10,0,1
Kristin Day,Clarion,2014,JR,251.15,297.75,475.10,,497.05,504.10,,539.35,0,1
Kelsey Jandro,Minnesota Moorhead,2014,SR,248.65,209.25,391.05,,,386.75,,,0,1
Nicola Mancini,Bentley,2014,SO,247.05,262.75,438.70,,453.70,456.50,,469.85,0,1
Lauren Slayton,Clarion,2014,SR,242.15,268.00,422.30,,,439.50,,,0,1
Katie Vulpetti,Grand Valley,2014,SR,239.00,,400.90,,,N/A,,,0,1
Sarah Zerfoss,Clarion,2014,SO,238.05,266.65,442.60,,460.65,477.55,,475.00,0,1
Shelby Werkema,Lindenwood,2014,FR,237.55,222.40,415.50,,,406.70,,,0,1
Mary Rabe,St. Cloud,2014,SR,237.20,221.65,407.70,,,410.70,,,0,1
Rebekah laupp,Drury,2014,SO,236.45,235.00,366.90,,,454.70,,446.70,0,1
Amanda jennings,Colorado Mesa,2014,JR,234.40,256.50,409.95,,,447.10,,,0,1
Molly Kearney,Northern Michigan,2014,SO,232.25,238.60,439.80,,447.60,436.80,,,0,1
Carleen Wayne,Lindenwood,2014,SO,232.10,240.50,406.85,,,373.90,,,0,1
Lauren Skinner,Cal Baptist,2014,FR,231.35,218.55,403.05,,,384.50,,,0,1
Victoria Raihle,St. Cloud,2014,JR,230.50,170.85,,,,,,,0,0
Kayla Marquardt,Grand Valley,2014,FR,230.15,225.60,398.70,,,402.50,,,0,1
Ashleigh Weddington,Findley,2014,JR,229.40,232.45,391.10,,,396.20,,,0,1
Shayna Dugger,Minnesota Moorhead,2014,SR,226.90,228.15,383.95,,,403.75,,,0,1
Emily Mcintire,St. Cloud,2014,SR,224.30,207.50,,,,,,,0,0
Rachael Lacroix,Wayne State,2014,SR,224.05,,,,,,,,0,0
Breanne Schlenger,Cal Baptist,2014,FR,221.60,155.65,,,,,,,0,0
Holly Krill,Wayne State,2014,FR,220.20,225.60,362.90,,,402.65,,,0,1
Anna Barry,Grand Valley,2014,FR,215.55,236.70,389.55,,,385.25,,,0,1
Elizabeth Durward,Simon Fraser,2014,SO,215.25,201.85,,,,,,,0,0
Jennifer Palladino,Pace,2014,SO,214.75,215.70,,,,,,,0,0
Miranda King,Cal Baptist,2014,SR,210.60,198.80,,,,,,,0,0
Jess Renzo,Southern Connecticut State,2014,JR,210.15,229.70,386.50,,,413.75,,,0,1
Josephine Mckee,West Florida,2014,SO,210.15,217.25,,,,,,,0,0
Savannah Craft,Colorado Mesa,2014,JR,207.55,220.15,,,,,,,0,0
Melissa Ashwood,Colorado School of Mines,2014,SR,207.10,212.60,,,,,,,0,0
Courtney Stone,Bentley,2014,SO,206.90,,,,,,,,0,0
Megan morse,Pace,2014,SR,206.05,213.30,,,,,,,0,0
Vitoria Bernardes,Pace,2014,JR,203.75,191.15,,,,,,,0,0
Meg Zets,West Florida,2014,FR,197.80,218.25,,,,,,,0,0
Allyson Cohen,UCSD,2014,JR,192.45,210.75,,,,,,,0,0
Millie Moro,Cal Baptist,2014,SR,191.30,217.40,,,,,,,0,0
Olivia Willoughby,Drury,2014,FR,189.85,199.30,,,,,,,0,0
Alexa patnaude,St. Rose,2014,JR,184.35,216.00,,,,,,,0,0
Laura Richard,Southern Connecticut State,2014,SR,176.50,201.95,,,,,,,0,0
Paige Kortman,Wayne State,2013,JR,278.55,263.30,435.00,,468.60,473.95,,515.25,0,1
Kristin Day,Clarion,2013,SO,273.45,281.10,430.60,,449.90,473.60,,491.70,0,1
Taylor Wiercinski,Grand Valley,2013,FR,266.85,244.90,427.20,,443.70,448.60,,482.10,0,1
Victoria Raihle,St. Cloud,2013,SR,250.35,210.90,378.90,,,420.65,,445.30,0,1
Lauren Slayton,Clarion,2013,JR,248.55,225.90,394.65,,,392.00,,,0,1
Courtney Wilder,Uindy,2013,FR,247.50,229.25,380.95,,,,,,0,1
Kali Lents,Incarnate Word,2013,SO,245.60,257.25,410.60,,452.45,469.00,,519.10,0,1
Jasmin Ramahi,Grand Valley,2013,SR,244.30,232.50,365.80,,,379.85,,,0,1
Laurel Bartholomew,Drury,2013,SR,241.50,215.80,390.60,,,423.35,,436.25,0,1
Katie Vulpetti,Grand Valley,2013,JR,238.50,244.90,382.25,,,418.65,,,0,1
Mary Rabe,St. Cloud,2013,JR,237.05,212.00,388.60,,,364.60,,,0,1
Amanda jennings,Colorado Mesa,2013,SO,236.80,240.40,382.25,,,395.85,,,0,1
Emily Mitzelfeld,Wayne State,2013,SR,234.35,220.75,402.05,,,415.80,,,0,1
Shelly D'aleo,Bentley,2013,SR,233.90,,352.95,,,,,,0,1
Carly Sevald,Wayne State,2013,SR,233.30,240.15,447.80,,451.40,454.75,,478.85,0,1
Michelle Heinemann,West Chester,2013,JR,230.00,224.55,366.90,,,368.25,,,0,1
Molly Kearney,Northern Michigan,2013,FR,228.65,265.45,422.35,,452.35,468.40,,472.60,0,1
Alex Geddis,Wayne State,2013,FR,228.40,239.55,393.90,,,404.85,,,0,1
Nicola Mancini,Bentley,2013,FR,228.20,222.75,417.05,,418.65,403.45,,,0,1
Gillian mcLean,Wingate,2013,SO,224.75,218.00,,,,,,,0,0
Sarah Zerfoss,Clarion,2013,FR,224.45,252.60,411.70,,425.55,414.00,,,0,1
Rachael Lacroix,Wayne State,2013,JR,223.35,183.25,,,,,,,0,0
Shayna Dugger,Minnesota Moorhead,2013,JR,220.35,218.10,,,,,,,0,0
Kelsey Tennett,West Chester,2013,SR,218.80,229.80,372.05,,,385.65,,,0,1
Jennifer Palladino,Pace,2013,FR,216.05,207.80,,,,,,,0,0
Jess renzo,Southern Connecticut State,2013,SO,215.15,219.30,,,,,,,0,0
Savannah Craft,Colorado Mesa,2013,SO,214.40,190.30,,,,,,,0,0
Kelsey Jandro,Minnesota Moorhead,2013,JR,207.25,210.55,,,,,,,0,0
Paige Wilde,Bentley,2013,SO,206.00,190.80,,,,,,,0,0
Michelle Murphy,West Chester,2013,SR,201.80,242.20,347.00,,,392.50,,,0,1
Ashley thomas,Southern Connecticut State,2013,SR,199.15,212.00,,,,,,,0,0
Abigail Mathews,Bentley,2013,SR,197.50,,,,,,,,0,0
Emily Mcintire,St. Cloud,2013,JR,197.45,214.35,,,,,,,0,0
Emily Haddox,Incarnate Word,2013,JR,195.10,107.05,,,,,,,0,0
Alexa patnaude,St. Rose,2013,SO,190.50,203.95,,,,,,,0,0
Rebekah laupp,Drury,2013,FR,189.20,210.55,,,,,,,0,0
Madeline Bell,Findley,2013,SR,188.35,,,,,,,,0,0
Ashleigh Weddington,Findley,2013,SO,187.80,185.20,,,,,,,0,0
Victoria Bernardes,Pace,2013,SO,186.60,173.60,,,,,,,0,0
Stephanie Voltz,Incarnate Word,2013,SR,160.65,,,,,,,,0,0
Laura Richard,Southern Connecticut State,2013,JR,142.45,180.95,,,,,,,0,0
Jennifer Root,Grand Valley,2012,SR,285.15,,457.35,,486.85,N/A,,,0,1
Karen verbrugge,Grand Valley,2012,SR,279.45,257.20,468.25,,502.65,481.65,,447.20,0,1
Paige Kortman,Wayne State,2012,SO,270.05,248.10,454.70,,462.35,434.25,,477.70,0,1
Kristin Day,Clarion,2012,FR,267.75,294.55,458.45,,495.70,467.10,,484.75,0,1
Carly Sevald,Wayne State,2012,JR,266.50,270.10,468.10,,496.95,499.25,,503.40,0,1
Katie Vulpetti,Grand Valley,2012,SO,254.65,363.55,405.45,,,427.05,,427.65,0,1
Lindsey Taylor,Wingate,2012,SO,249.35,251.00,498.85,,506.95,453.95,,449.30,0,1
Michelle Murphy,West Chester,2012,JR,246.55,258.40,388.75,,,398.25,,,0,1
Brooke Lera,Colorado Mesa,2012,FR,243.95,221.75,432.00,,,400.70,,,0,1
Victoria Raihle,St. Cloud,2012,SO,237.35,251.15,434.55,,,423.80,,,0,1
Allison Tracy,St. Cloud,2012,SR,235.25,237.30,437.00,,,407.00,,,0,1
Amanda Burden,Southern Connecticut State,2012,SR,232.25,260.05,422.85,,,391.40,,,0,1
Laurel Bartholomew,Drury,2012,JR,229.65,256.45,459.00,,479.05,335.35,,,0,1
Michelle Heinemann,West Chester,2012,SO,229.55,214.05,403.45,,,361.10,,,0,1
Emily Mitzelfeld,Wayne State,2012,JR,226.60,251.80,473.20,,455.15,431.65,,416.60,0,1
Madeline Bell,Findley,2012,JR,225.45,,405.30,,,N/A,,,0,1
Amanda jennings,Colorado Mesa,2012,FR,220.20,232.95,355.60,,,319.05,,,0,1
Mary Rabe,St. Cloud,2012,SO,218.35,206.25,402.50,,,379.65,,,0,1
Kelsey Tennett,West Chester,2012,JR,217.75,249.00,445.45,,,424.25,,,0,1
Megahan Shea,Le Moyne,2012,SR,217.40,216.40,,,,,,,0,0
Chelsey Bethke,St. Cloud,2012,SR,212.90,223.00,428.40,,,424.65,,442.85,0,1
Sarah Moore,Colorado School of Mines,2012,SR,209.35,224.65,418.25,,,409.10,,,0,1
Emily Rapuano,Southern Connecticut State,2012,SR,206.20,206.10,,,,,,,0,0
Paige Wilde,Bentley,2012,FR,201.15,170.65,,,,,,,0,0
Savannah Craft,Colorado Mesa,2012,FR,200.20,175.90,,,,,,,0,0
Shayna Dugger,Minnesota Moorhead,2012,SO,197.75,206.40,,,,,,,0,0
Emily Haddox,Incarnate Word,2012,SO,197.00,215.15,,,,,,,0,0
Caitlin Cavert,Henderson,2012,SR,196.70,,,,,,,,0,0
Kelsey Jandro,Minnesota Moorhead,2012,SO,192.30,225.25,388.10,,,341.10,,,0,1
Kayla kelosky,Clarion,2011,SR,313.25,239.55,470.50,,511.15,472.75,,481.70,0,1
Karen verbrugge,Grand Valley,2011,JR,290.65,223.00,473.00,,489.60,420.35,,429.70,0,1
Jennifer Root,Grand Valley,2011,JR,276.15,204.95,413.15,,429.95,423.90,,474.55,0,1
Lindsey Taylor,Wingate,2011,FR,257.20,264.00,402.60,,456.05,451.50,,470.85,0,1
Paige Kortman,Wayne State,2011,FR,250.55,238.10,409.40,,431.10,385.10,,,0,1
Carly Sevald,Wayne State,2011,SO,246.05,252.25,401.20,,419.50,428.00,,444.20,0,1
Cassi Mrozek,St. Cloud,2011,SR,243.85,221.10,377.95,,,357.65,,,0,1
Emily Mitzelfeld,Wayne State,2011,SO,242.15,245.60,369.45,,,384.75,,,0,1
Rachel Strom,Grand Valley,2011,SR,241.90,250.75,398.65,,397.05,405.50,,471.00,0,1
Cassandra Chetosky,Wayne State,2011,SR,239.30,236.00,411.35,,433.45,439.25,,452.05,0,1
Kim Ogden,Clarion,2011,SR,238.05,215.00,378.35,,,394.95,,410.60,0,1
Janel Duffy ,Minnesota Mankato,2011,SR,234.05,195.45,394.85,,,373.50,,,0,1
Katie Vulpetti,Grand Valley,2011,FR,233.30,215.60,378.05,,,353.50,,,0,1
Kelli Vander Baan,Northern Michigan,2011,SR,232.00,194.15,379.55,,,378.25,,,0,1
Allison Tracy,St. Cloud,2011,JR,228.60,191.35,389.10,,,351.95,,,0,1
Michelle Murphy,West Chester,2011,SO,227.45,215.75,322.55,,,357.70,,,0,1
Kelsey Tennett,West Chester,2011,SO,223.45,216.75,381.15,,,370.30,,,0,1
Sarah Moore,Colorado School of Mines,2011,JR,222.95,,,,,,,,0,0
Jennifer Rodriguez,Henderson,2011,SR,219.75,200.20,,,,,,,0,0
Dianna Rocco,Gannon,2011,JR,217.85,234.95,392.10,,,372.25,,,0,1
Amanda Burden,Southern Connecticut State,2011,JR,212.35,218.50,357.70,,,367.90,,,0,1
Manda Schulte,Nebraska Omaha,2011,JR,209.35,184.80,,,,,,,0,0
Jasmine Ramahi,Grand Valley,2011,SO,208.20,199.05,,,,,,,0,0
Dana Depaul,West Chester,2011,SR,201.15,199.90,,,,,,,0,0
Shayna Dugger,Minnesota Moorhead,2011,FR,198.80,181.15,,,,,,,0,0
Kelsey jandro,Minnesota Moorhead,2011,FR,195.75,187.30,,,,,,,0,0
Shelly D'aleo,Bentley,2011,SO,192.75,,,,,,,,0,0
Meghan jaworski,Wayne State,2011,SR,190.65,210.25,336.10,,,353.55,,,0,1
Madeline Bell,Findley,2011,SO,190.45,,,,,,,,0,0
Emily Haddox,Incarnate Word,2011,FR,173.15,,,,,,,,0,0
Meghan Shea,Le Moyne,2011,JR,169.50,167.75,,,,,,,0,0
Bethany Pollock,Minnesota Moorhead,2011,FR,164.10,168.85,,,,,,,0,0
Lauren Sasso,Southern Connecticut State,2011,SR,160.65,170.10,,,,,,,0,0
Jessica Wilde,Incarnate Word,2011,JR,159.60,,,,,,,,0,0
Emily Travers,Bentley,2011,SR,158.20,203.70,304.50,,,299.60,,,0,1
Abigail Mathews,Bentley,2011,SO,157.20,,,,,,,,0,0
